name,invariant,level,match,target,id
Exp1/Exp1data,a,1,3,4,24
Exp1/Exp1data,t,0,4,5,24
Exp1/Exp1data,v,2,7,3,24
Exp1/Exp1data,n2,0,7,1,24
Exp1/Exp1data,a,0,6,2,24
Exp1/Exp1data,w,1,3,4,24
Exp1/Exp1data,s,1,4,5,24
Exp1/Exp1data,w,0,6,2,24
Exp1/Exp1data,a,1,3,2,25
Exp1/Exp1data,st,0,4,3,25
Exp1/Exp1data,t,1,3,5,25
Exp1/Exp1data,i,1,1,1,26
Exp1/Exp1data,n2,1,5,4,26
Exp1/Exp1data,st,1,6,1,26
Exp1/Exp1data,w,2,4,1,26
Exp1/Exp1data,t,0,3,3,26
Exp1/Exp1data,t,0,5,2,26
Exp1/Exp1data,n1,1,2,0,26
Exp1/Exp1data,n2,2,5,3,26
Exp1/Exp1data,w,2,5,2,26
Exp1/Exp1data,v,0,4,4,26
Exp1/Exp1data,n2,1,5,2,26
Exp1/Exp1data,a,1,5,3,26
Exp1/Exp1data,s,2,4,3,26
Exp1/Exp1data,w,2,5,4,26
Exp1/Exp1data,w,2,2,5,27
Exp1/Exp1data,n2,2,5,3,27
Exp1/Exp1data,n1,0,5,0,27
Exp1/Exp1data,n2,1,7,4,27
Exp1/Exp1data,t,1,7,0,28
Exp1/Exp1data,t,1,7,3,28
Exp1/Exp1data,s,0,3,1,28
Exp1/Exp1data,a,1,1,5,28
Exp1/Exp1data,t,2,6,1,28
Exp1/Exp1data,t,0,7,6,28
Exp1/Exp1data,n1,2,5,5,28
Exp1/Exp1data,n1,1,1,0,28
Exp1/Exp1data,w,1,3,1,28
Exp1/Exp1data,w,1,3,6,28
Exp1/Exp1data,a,1,4,2,28
Exp1/Exp1data,n2,2,5,4,28
Exp1/Exp1data,s,1,3,0,28
Exp1/Exp1data,v,2,7,6,29
Exp1/Exp1data,t,1,7,5,29
Exp1/Exp1data,w,0,7,4,29
Exp1/Exp1data,w,2,4,6,30
Exp1/Exp1data,n1,0,6,5,30
Exp1/Exp1data,st,0,6,5,30
Exp1/Exp1data,i,1,1,5,31
Exp1/Exp1data,s,2,3,0,32
Exp1/Exp1data,s,1,1,4,32
Exp1/Exp1data,n1,2,3,6,33
Exp1/Exp1data,v,2,7,2,34
Exp1/Exp1data,w,0,4,5,34
Exp1/Exp1data,n1,2,3,5,34
Exp1/Exp1data,t,0,3,1,34
Exp1/Exp1data,st,1,7,1,34
Exp1/Exp1data,n1,1,5,1,34
Exp1/Exp1data,n1,0,5,2,34
Exp1/Exp1data,st,2,4,2,34
Exp1/Exp1data,n2,1,2,1,34
Exp1/Exp1data,a,1,4,4,34
Exp1/Exp1data,n2,0,5,2,35
Exp1/Exp1data,n2,0,4,4,35
Exp1/Exp1data,s,0,7,1,36
Exp1/Exp1data,v,0,3,6,36
Exp1/Exp1data,a,1,3,2,36
Exp1/Exp1data,n1,0,2,1,36
Exp1/Exp1data,a,0,4,1,36
Exp1/Exp1data,n1,2,1,5,36
Exp1/Exp1data,w,0,2,5,36
Exp1/Exp1data,t,0,5,1,36
Exp1/Exp1data,i,1,1,6,38
Exp1/Exp1data,w,0,5,4,38
Exp1/Exp1data,v,0,6,5,38
Exp1/Exp1data,w,1,5,3,39
Exp1/Exp1data,n2,2,7,1,39
Exp1/Exp1data,t,0,2,2,39
Exp1/Exp1data,t,2,6,4,40
Exp1/Exp1data,i,1,7,3,40
Exp1/Exp1data,w,1,3,0,40
Exp1/Exp1data,s,0,1,5,40
Exp1/Exp1data,w,2,3,1,40
Exp1/Exp1data,v,0,5,6,40
Exp1/Exp1data,w,1,1,1,40
Exp1/Exp1data,w,0,3,4,40
Exp1/Exp1data,n2,0,7,4,40
Exp1/Exp1data,v,2,6,0,41
Exp1/Exp1data,a,1,2,2,41
Exp1/Exp1data,t,0,2,4,41
Exp1/Exp1data,s,0,1,2,41
Exp1/Exp1data,v,2,5,0,41
Exp1/Exp1data,n1,2,1,0,41
Exp1/Exp1data,w,0,4,5,41
Exp1/Exp1data,t,1,3,5,41
Exp1/Exp1data,n1,1,1,1,41
Exp1/Exp1data,st,2,3,4,41
Exp1/Exp1data,n1,1,1,1,41
Exp1/Exp1data,t,2,5,5,41
Exp1/Exp1data,n1,0,1,5,42
Exp1/Exp1data,a,2,3,1,42
Exp1/Exp1data,n1,1,1,3,42
Exp1/Exp1data,n1,2,1,2,42
Exp1/Exp1data,v,0,6,6,42
Exp1/Exp1data,w,1,4,4,42
Exp1/Exp1data,a,2,1,4,42
Exp1/Exp1data,i,1,6,5,42
Exp1/Exp1data,n1,1,6,4,42
